transaction_id,customer_id,transaction_date,amount,transaction_type,is_cash_transaction,is_cross_border,country_code
TXN00000001,CUST000157,2022-06-12 16:20:09,1358.22,transfer,0,0,US
TXN00000002,CUST001000,2022-06-12 18:49:09,358.67,deposit,1,0,US
TXN00000003,CUST000439,2022-06-12 21:14:09,229.05,transfer,0,0,US
TXN00000004,CUST000305,2022-06-13 04:04:09,791.65,withdrawal,1,0,US
TXN00000005,CUST000057,2022-06-13 07:28:09,70.19,withdrawal,0,0,US
TXN00000006,CUST000057,2022-06-13 09:56:09,312.93,transfer,1,0,US
TXN00000007,CUST000020,2022-06-13 10:19:09,1390.5,deposit,0,0,US
TXN00000008,CUST000671,2022-06-13 10:24:09,522.24,transfer,0,0,US
TXN00000009,CUST000307,2022-06-13 11:25:09,89.99,transfer,0,0,US
TXN00000010,CUST000411,2022-06-13 12:54:09,391.77,payment,0,0,US
TXN00000011,CUST000007,2022-06-13 14:54:09,200.03,withdrawal,1,0,US
TXN00000012,CUST001000,2022-06-13 18:49:09,70.34,payment,0,0,US
TXN00000013,CUST000596,2022-06-13 21:02:09,188.31,transfer,1,0,US
TXN00000014,CUST000080,2022-06-13 21:07:09,262.01,payment,0,1,MA
TXN00000015,CUST000067,2022-06-13 21:21:09,2323.94,deposit,1,0,US
TXN00000016,CUST000068,2022-06-13 22:55:09,33.92,transfer,0,0,US
TXN00000017,CUST000121,2022-06-13 23:05:09,77.31,payment,0,0,US
TXN00000018,CUST000248,2022-06-14 05:02:09,145.63,deposit,0,0,US
TXN00000019,CUST000189,2022-06-14 06:44:09,390.78,transfer,0,0,US
TXN00000020,CUST000115,2022-06-14 07:00:09,9183.63,payment,0,0,US
TXN00000021,CUST000316,2022-06-14 09:44:09,331.21,transfer,0,0,US
TXN00000022,CUST000051,2022-06-14 10:05:09,304.05,deposit,1,0,US
TXN00000023,CUST000116,2022-06-14 15:28:09,424.78,transfer,0,0,US
TXN00000024,CUST000153,2022-06-14 17:53:09,151.4,deposit,1,0,US
TXN00000025,CUST000203,2022-06-14 19:21:09,16.12,payment,0,1,CF
TXN00000026,CUST000513,2022-06-14 19:30:09,10.0,deposit,1,0,US
TXN00000027,CUST000075,2022-06-15 00:07:09,84.18,deposit,1,1,CY
TXN00000028,CUST000241,2022-06-15 00:56:09,305.77,withdrawal,1,1,SB
TXN00000029,CUST000300,2022-06-15 09:46:09,72.88,transfer,0,0,US
TXN00000030,CUST000016,2022-06-15 09:53:09,236.73,payment,1,1,NR
TXN00000031,CUST000312,2022-06-15 12:33:09,10.0,deposit,1,1,CI
TXN00000032,CUST000063,2022-06-15 13:59:09,10.0,deposit,1,0,US
TXN00000033,CUST000023,2022-06-15 14:09:09,1196.69,withdrawal,1,1,TR
TXN00000034,CUST000992,2022-06-15 14:22:09,1025.24,payment,0,0,US
TXN00000035,CUST001000,2022-06-15 16:41:09,268.09,transfer,1,0,US
TXN00000036,CUST000551,2022-06-15 17:03:09,149.0,withdrawal,1,0,US
TXN00000037,CUST000122,2022-06-15 17:24:09,2601.93,transfer,0,0,US
