transaction_id,customer_id,transaction_date,amount,transaction_type,is_cash_transaction,is_cross_border,country_code
TXN00000001,CUST000914,2022-06-12 10:58:20,1017.24,withdrawal,1,0,US
TXN00000002,CUST000171,2022-06-12 11:09:20,332.87,deposit,0,0,US
TXN00000003,CUST000215,2022-06-12 12:12:20,411.73,transfer,0,0,US
TXN00000004,CUST001462,2022-06-12 12:50:20,6231.99,deposit,1,0,US
TXN00000005,CUST005000,2022-06-12 12:51:20,306.48,deposit,0,0,US
TXN00000006,CUST001415,2022-06-12 13:00:20,10.0,payment,0,0,US
TXN00000007,CUST004962,2022-06-12 14:29:20,287.15,transfer,1,0,US
TXN00000008,CUST000979,2022-06-12 16:29:20,224.23,payment,0,0,US
TXN00000009,CUST000955,2022-06-12 17:39:20,644.01,withdrawal,0,0,US
TXN00000010,CUST001156,2022-06-12 18:44:20,277.27,transfer,0,0,US
TXN00000011,CUST001993,2022-06-12 18:58:20,737.3,deposit,1,0,US
TXN00000012,CUST000764,2022-06-12 20:26:20,367.34,withdrawal,0,0,US
TXN00000013,CUST003324,2022-06-12 20:46:20,291.26,deposit,1,0,US
TXN00000014,CUST000050,2022-06-12 21:18:20,10878.56,withdrawal,0,0,US
TXN00000015,CUST000966,2022-06-12 21:23:20,1181.21,withdrawal,1,0,US
TXN00000016,CUST001193,2022-06-12 22:46:20,1381.15,deposit,1,0,US
TXN00000017,CUST001557,2022-06-12 23:18:20,370.52,payment,0,0,US
TXN00000018,CUST000539,2022-06-13 00:44:20,388.76,withdrawal,1,1,KW
TXN00000019,CUST000930,2022-06-13 01:32:20,4464.05,deposit,0,0,US
TXN00000020,CUST001105,2022-06-13 02:02:20,496.61,withdrawal,1,0,US
TXN00000021,CUST001936,2022-06-13 03:13:20,1032.35,transfer,0,1,GQ
TXN00000022,CUST002476,2022-06-13 04:13:20,1195.35,transfer,0,1,ZA
TXN00000023,CUST002232,2022-06-13 04:52:20,253.07,transfer,0,0,US
TXN00000024,CUST000697,2022-06-13 05:04:20,35.64,payment,0,0,US
TXN00000025,CUST005000,2022-06-13 07:24:20,727.12,deposit,1,0,US
TXN00000026,CUST003148,2022-06-13 07:37:20,10.0,transfer,0,0,US
TXN00000027,CUST000502,2022-06-13 08:48:20,10.0,withdrawal,1,0,US
TXN00000028,CUST000362,2022-06-13 08:52:20,12442.16,withdrawal,0,1,VI
TXN00000029,CUST000629,2022-06-13 10:05:20,294.74,transfer,0,1,CF
TXN00000030,CUST001004,2022-06-13 10:28:20,322.72,transfer,0,0,US
TXN00000031,CUST003171,2022-06-13 10:33:20,244.94,deposit,0,0,US
TXN00000032,CUST002512,2022-06-13 11:34:20,172.11,transfer,0,0,US
TXN00000033,CUST003176,2022-06-13 12:13:20,235.17,deposit,0,0,US
TXN00000034,CUST000529,2022-06-13 13:02:20,306.38,withdrawal,1,0,US
TXN00000035,CUST001501,2022-06-13 15:03:20,201.51,transfer,0,1,BZ
TXN00000036,CUST000556,2022-06-13 15:28:20,123.67,transfer,0,0,US
TXN00000037,CUST000193,2022-06-13 15:41:20,191.06,transfer,0,0,US
TXN00000038,CUST001922,2022-06-13 16:39:20,1155.83,transfer,0,0,US
TXN00000039,CUST000258,2022-06-13 17:49:20,5405.78,transfer,0,0,US
TXN00000040,CUST001837,2022-06-13 18:05:20,195.81,deposit,0,0,US
TXN00000041,CUST001741,2022-06-13 18:32:20,142.03,transfer,0,0,US
TXN00000043,CUST000251,2022-06-13 18:58:20,191.76,payment,0,0,US
TXN00000042,CUST002771,2022-06-13 18:58:20,805.64,payment,0,0,US
TXN00000044,CUST002551,2022-06-13 20:18:20,954.05,withdrawal,1,1,GI
TXN00000045,CUST005000,2022-06-13 20:39:20,544.65,transfer,1,0,US
TXN00000046,CUST003174,2022-06-13 21:11:20,133.4,payment,0,0,US
TXN00000047,CUST002323,2022-06-13 21:30:20,250.69,deposit,1,0,US
TXN00000048,CUST001809,2022-06-13 23:04:20,10.0,transfer,0,0,US
TXN00000049,CUST000914,2022-06-13 23:14:20,24.94,deposit,0,0,US
TXN00000050,CUST002186,2022-06-13 23:18:20,79.28,deposit,1,1,CR
TXN00000051,CUST002147,2022-06-14 00:22:20,1137.61,withdrawal,1,1,KY
TXN00000052,CUST001664,2022-06-14 00:34:20,10.0,deposit,1,0,US
TXN00000053,CUST002652,2022-06-14 02:13:20,482.06,deposit,0,1,JP
TXN00000054,CUST000993,2022-06-14 03:11:20,7741.81,payment,0,1,AF
TXN00000055,CUST000216,2022-06-14 03:43:20,1020.64,payment,0,1,GQ
TXN00000056,CUST001365,2022-06-14 05:11:20,181.78,transfer,0,0,US
TXN00000057,CUST000514,2022-06-14 06:53:20,207.61,transfer,0,0,US
TXN00000058,CUST000809,2022-06-14 07:09:20,84.39,deposit,1,0,US
TXN00000059,CUST000030,2022-06-14 07:50:20,117.09,withdrawal,1,1,SI
TXN00000060,CUST000805,2022-06-14 08:10:20,251.35,transfer,0,0,US
TXN00000061,CUST002758,2022-06-14 08:16:20,281.16,payment,0,0,US
TXN00000062,CUST001305,2022-06-14 09:48:20,1960.73,transfer,0,0,US
TXN00000063,CUST000017,2022-06-14 09:53:20,58.51,deposit,1,1,CH
TXN00000064,CUST001058,2022-06-14 10:14:20,209.74,deposit,0,0,US
TXN00000065,CUST000575,2022-06-14 11:02:20,152.87,withdrawal,1,0,US
TXN00000066,CUST001083,2022-06-14 12:06:20,200.14,transfer,0,0,US
TXN00000067,CUST000865,2022-06-14 12:48:20,87.31,transfer,0,0,US
TXN00000068,CUST004480,2022-06-14 12:54:20,10252.7,transfer,0,0,US
TXN00000069,CUST000071,2022-06-14 15:37:20,5835.69,deposit,1,0,US
TXN00000070,CUST001918,2022-06-14 17:28:20,1488.47,transfer,0,0,US
TXN00000071,CUST003174,2022-06-14 18:02:20,840.59,transfer,0,0,US
TXN00000072,CUST005000,2022-06-14 19:30:20,241.65,deposit,1,0,US
TXN00000073,CUST000326,2022-06-14 19:39:20,245.23,transfer,0,1,RU
TXN00000074,CUST001264,2022-06-14 19:56:20,393.03,withdrawal,1,0,US
TXN00000075,CUST000075,2022-06-14 20:03:20,123.08,transfer,0,1,DO
TXN00000076,CUST001153,2022-06-14 23:37:20,10.0,deposit,0,0,US
TXN00000077,CUST000224,2022-06-15 00:16:20,858.91,deposit,1,0,US
TXN00000078,CUST003033,2022-06-15 01:05:20,207.66,withdrawal,1,0,US
TXN00000079,CUST000202,2022-06-15 02:02:20,1798.27,deposit,1,0,US
TXN00000080,CUST001201,2022-06-15 02:25:20,10.0,deposit,1,1,MF
TXN00000081,CUST001228,2022-06-15 03:17:20,256.65,deposit,1,1,DO
TXN00000082,CUST005000,2022-06-15 06:02:20,136.55,transfer,0,0,US
TXN00000083,CUST001774,2022-06-15 06:21:20,88.68,payment,0,1,PG
TXN00000084,CUST000566,2022-06-15 06:46:20,226.75,transfer,0,1,LT
TXN00000085,CUST000460,2022-06-15 07:12:20,598.14,transfer,0,0,US
TXN00000086,CUST000229,2022-06-15 07:17:20,198.05,deposit,0,1,LY
TXN00000087,CUST002355,2022-06-15 08:32:20,299.64,transfer,0,0,US
TXN00000088,CUST001957,2022-06-15 09:47:20,166.18,withdrawal,1,0,US
TXN00000089,CUST001569,2022-06-15 09:53:20,251.69,transfer,0,0,US
TXN00000090,CUST000070,2022-06-15 10:02:20,110.66,payment,1,1,PT
TXN00000091,CUST002399,2022-06-15 12:16:20,238.85,deposit,1,0,US
TXN00000092,CUST001712,2022-06-15 12:37:20,249.56,transfer,0,0,US
TXN00000093,CUST005000,2022-06-15 12:53:20,171.02,transfer,0,0,US
TXN00000094,CUST001475,2022-06-15 13:09:20,255.28,transfer,0,0,US
TXN00000095,CUST000604,2022-06-15 14:03:20,800.99,transfer,0,0,US
TXN00000096,CUST000801,2022-06-15 14:08:20,10.0,transfer,0,0,US
TXN00000097,CUST000323,2022-06-15 14:18:20,971.08,payment,0,0,US
TXN00000098,CUST002140,2022-06-15 14:31:20,10.0,payment,0,0,US
TXN00000099,CUST002051,2022-06-15 15:42:20,175.95,deposit,1,0,US
TXN00000100,CUST000374,2022-06-15 16:26:20,521.22,withdrawal,1,0,US
TXN00000101,CUST000288,2022-06-15 16:33:20,857.47,withdrawal,1,0,US
TXN00000102,CUST000134,2022-06-15 16:50:20,11929.73,transfer,0,0,US
TXN00000103,CUST004051,2022-06-15 17:12:20,251.17,withdrawal,1,0,US
TXN00000104,CUST000443,2022-06-15 17:33:20,8503.83,deposit,1,0,US
TXN00000105,CUST000704,2022-06-15 18:28:20,955.83,deposit,1,1,SK
TXN00000106,CUST000549,2022-06-15 20:09:20,6364.39,payment,0,0,US
TXN00000107,CUST000890,2022-06-15 22:03:20,10.0,payment,0,1,LB
TXN00000108,CUST002087,2022-06-16 01:01:20,328.69,withdrawal,1,1,LA
TXN00000109,CUST003409,2022-06-16 01:15:20,437.8,payment,0,1,TL
TXN00000110,CUST000337,2022-06-16 01:52:20,10.0,payment,0,0,US
TXN00000111,CUST001933,2022-06-16 02:07:20,320.61,transfer,0,0,US
TXN00000112,CUST000725,2022-06-16 02:43:20,170.85,deposit,1,0,US
TXN00000113,CUST005000,2022-06-16 03:31:20,8657.16,deposit,0,0,US
TXN00000114,CUST000592,2022-06-16 04:35:20,255.28,deposit,1,1,VA
TXN00000115,CUST000013,2022-06-16 05:01:20,57.15,deposit,0,0,US
TXN00000116,CUST001209,2022-06-16 05:36:20,309.41,payment,0,1,ML
TXN00000117,CUST000273,2022-06-16 06:55:20,313.5,withdrawal,1,0,US
TXN00000118,CUST000076,2022-06-16 06:59:20,211.32,transfer,0,0,US
TXN00000119,CUST001998,2022-06-16 07:05:20,125.86,transfer,0,0,US
TXN00000120,CUST002197,2022-06-16 07:12:20,393.04,withdrawal,1,0,US
TXN00000121,CUST001030,2022-06-16 08:10:20,171.69,deposit,1,1,RS
TXN00000122,CUST001883,2022-06-16 08:11:20,91.87,transfer,0,0,US
TXN00000123,CUST001288,2022-06-16 12:02:20,47.41,deposit,1,0,US
TXN00000124,CUST001657,2022-06-16 12:18:20,239.6,payment,0,0,US
TXN00000125,CUST001514,2022-06-16 12:20:20,200.98,payment,0,1,TJ
TXN00000126,CUST001827,2022-06-16 12:22:20,278.98,payment,0,0,US
TXN00000127,CUST000372,2022-06-16 12:23:20,10.0,payment,0,0,US
TXN00000128,CUST000522,2022-06-16 12:27:20,1421.91,transfer,0,0,US
TXN00000129,CUST000967,2022-06-16 12:37:20,172.27,withdrawal,1,0,US
TXN00000130,CUST000985,2022-06-16 12:55:20,257.9,transfer,0,0,US
TXN00000132,CUST000764,2022-06-16 13:52:20,310.63,transfer,0,0,US
TXN00000131,CUST002482,2022-06-16 13:52:20,1585.2,deposit,1,0,US
TXN00000133,CUST000296,2022-06-16 14:08:20,10.0,payment,0,0,US
TXN00000134,CUST000483,2022-06-16 17:12:20,9414.38,transfer,0,0,US
TXN00000135,CUST000403,2022-06-16 19:06:20,89.62,payment,0,0,US
TXN00000136,CUST002193,2022-06-16 19:25:20,77.02,payment,0,0,US
TXN00000137,CUST001060,2022-06-16 19:50:20,50.26,transfer,0,1,GW
TXN00000138,CUST002056,2022-06-16 19:55:20,458.08,transfer,0,0,US
TXN00000139,CUST000898,2022-06-16 22:44:20,144.2,withdrawal,0,0,US
TXN00000140,CUST003675,2022-06-16 22:46:20,375.27,deposit,0,0,US
TXN00000141,CUST005000,2022-06-16 23:19:20,10.0,payment,0,0,US
TXN00000142,CUST001847,2022-06-17 00:00:20,122.73,transfer,0,0,US
TXN00000143,CUST003323,2022-06-17 00:52:20,112.43,payment,0,0,US
TXN00000144,CUST001182,2022-06-17 01:40:20,236.4,deposit,0,0,US
TXN00000145,CUST004546,2022-06-17 02:16:20,149.84,transfer,0,1,VI
TXN00000146,CUST002969,2022-06-17 04:52:20,636.05,withdrawal,1,0,US
TXN00000147,CUST005000,2022-06-17 06:48:20,52.26,withdrawal,0,0,US
TXN00000148,CUST001627,2022-06-17 06:50:20,69.2,transfer,1,0,US
TXN00000149,CUST002518,2022-06-17 08:32:20,6861.5,deposit,1,0,US
TXN00000150,CUST001305,2022-06-17 09:15:20,168.52,payment,0,0,US
TXN00000151,CUST000500,2022-06-17 09:46:20,279.19,deposit,0,1,TN
TXN00000152,CUST000731,2022-06-17 10:20:20,243.25,payment,0,0,US
TXN00000153,CUST003741,2022-06-17 11:01:20,88.92,transfer,0,0,US
TXN00000154,CUST000096,2022-06-17 11:02:20,1155.57,withdrawal,1,0,US
TXN00000155,CUST001493,2022-06-17 11:04:20,1632.51,transfer,0,0,US
